has_email,contact_name,email,phone,job_title,business_name,website,domain,category,review_count,review_rating,address,status,description,place_id,last_crawled_at,crawl_attempts,exported_to_local_csv
yes,Info/Office,1500seweranddrain@gmail.com,+14082791515,General Contact,$15 Sewer & Drain Service,https://15sewer.com/,15sewer.com,"Plumber, Drainage service, Repair service",,,,,,,,0,yes
no,Info/Office,,+14085160226,General Contact,24/7 Plumber - Shark Plumbing Services,https://www.sharkplumbers.com/,sharkplumbers.com,Plumber,,,,,,,2026-07-29 17:07:14.595924,1,yes
no,Info/Office,,+16692134948,General Contact,24/7 Plumber - Shark Plumbing Services,https://www.sharkplumbers.com/,sharkplumbers.com,Plumber,,,,,,,2026-07-29 17:07:14.595924,1,no
yes,Info/Office,abarcasrepipeplumbinginc@gmail.com,+16692268147,General Contact,ABARCAS REPIPE & PLUMBING INC,https://abarcasrepipeandplumbing.com/,abarcasrepipeandplumbing.com,"Plumber, Drainage service, Service establishment",22,5.0,,,,ChIJL8U5ilVcrIsRrLIMWC2gGRU,,0,yes
no,Info/Office,,+14083779990,General Contact,"Able Plumbing, Sewer, and Drain",https://www.ablesewer.com/,ablesewer.com,"Plumber, Septic system service",30,4.2,"1020 Ruff Dr, San Jose, CA 95110, United States",,,ChIJV6ebq4LLj4ARZZxLBkh2eOI,2026-07-30 06:52:16.861436,1,no
yes,Info/Office,your@email.com,+14082721423,General Contact,"Alert Plumbing, Inc.",https://www.alertplumbinginc.net/,alertplumbinginc.net,Plumber,,,,,,,,0,yes
no,Info/Office,,+14083133914,General Contact,All Go Plumbing and Rooter,https://allgoplumbingandrooter.com/?y_source=1_MTAyOTU0NzIzMy03MTUtbG9jYXRpb24ud2Vic2l0ZQ==,allgoplumbingandrooter.com,"Plumber, Cleaners, Contractor, Drainage service, Gas installation service, Repair service, Utilities contractor, Water works",,,,,,,2026-07-29 17:07:14.595924,1,yes
no,Info/Office,,+14084098088,General Contact,Allstar Plumbing,https://goallstar.com/,goallstar.com,"Plumber, Drainage service",,,,,,,2026-07-29 17:07:14.595924,1,yes
yes,Info/Office,almadenvalleyplumbing@gmail.com,+14082686923,General Contact,Almaden Valley Plumbing,http://almadenvalleyplumbing.com/,almadenvalleyplumbing.com,"Plumber, Service establishment",,,,,,,,0,yes
yes,Info/Office,support@almadenvalleyplumbing.com,+14082686923,General Contact,Almaden Valley Plumbing,http://almadenvalleyplumbing.com/,almadenvalleyplumbing.com,"Plumber, Service establishment",,,,,,,,0,yes
