Export Date,Contact Name,Email,Phone,Job Title,Business Name,Website,Category,Review Count,Review Rating,Address,Status,Description,Place ID
2026-08-04 21:29:27,Info/Office,support@fuseservice.com,+16692401249,General Contact,"Fuse HVAC, Refrigeration, Electrical & Plumbing",http://fuseservice.com/,"HVAC contractor, Air conditioning contractor, Air conditioning repair service, Electrician, Furnace repair service, Heating contractor, Plumber",1300,4.9,"2222 Ronald St, Santa Clara, CA 95050, United States",,,ChIJCW4b6dg1joAR98rvIWsM75Y
2026-08-04 21:29:27,Info/Office,joe@handymanmadesimple.com,+14085051694,General Contact,Handyman Made Simple LLC.,https://www.handymanmadesimple.com/,Handyman/Handywoman/Handyperson,27,5.0,"452 S Cypress Ave, Santa Clara, CA 95050, United States",,,ChIJ09XPlcjLj4ARAcVUe4dfShw
2026-08-04 21:29:27,Info/Office,hensamplum@gmail.com,+18188586357,General Contact,"HenSam Plumbing Services - Best Plumbing Installation & Repair, Water Leak detection",https://hensamplum.com/,"Plumber, Drainage service, Service establishment",14,5.0,,,,ChIJifmxg67B1AQRs6LNK2xRwlg
2026-08-04 21:29:27,Info/Office,shehriyarbutt24@gmail.com,+18188586357,General Contact,"HenSam Plumbing Services - Best Plumbing Installation & Repair, Water Leak detection",https://hensamplum.com/,"Plumber, Drainage service, Service establishment",14,5.0,,,,ChIJifmxg67B1AQRs6LNK2xRwlg
2026-08-04 21:29:27,Info/Office,gerberperez85@icloud.com,+16696294382,General Contact,Jose's Plumbing and Rooter Inc,https://josesplumbingrooter.net/,"Plumber, Service establishment",148,5.0,,,,ChIJ87wDdq3hwW8R6ANUZOYDCFY
2026-08-04 21:29:27,Info/Office,josesplumbingrooter@gmail.com,+16696294382,General Contact,Jose's Plumbing and Rooter Inc,https://josesplumbingrooter.net/,"Plumber, Service establishment",148,5.0,,,,ChIJ87wDdq3hwW8R6ANUZOYDCFY
2026-08-04 21:29:27,Info/Office,info@justfaucetsplumbing.com,+18887218182,General Contact,Just Faucets,http://justfaucetsplumbing.com/,"Plumber, Bathroom remodeler, Service establishment",4,5.0,,,,ChIJ4RY9AQO1j4ARXbTFI-gQ1qc
2026-08-04 21:29:27,Info/Office,angelplumbingsv@gmail.com,+14089215373,General Contact,Local Water Heaters & Plumbing,http://localwaterheatersandplumbing.com/,"Plumber, Drainage service, Service establishment, Gas engineer",33,4.9,,,,ChIJo69pvVzLj4AR6Fvkg-py3MI
2026-08-04 21:29:27,Info/Office,jnmoscol@gmail.com,+14088769904,General Contact,Moscol Handyman,http://www.moscolhandyman.com/,"Handyman/Handywoman/Handyperson, Electrician, Service establishment",24,5.0,,,,ChIJJwvLF7HLj4ARu0yo8-To0y8
2026-08-04 21:29:27,Info/Office,info@plumbear.co,+14087570157,General Contact,Plumbear,https://www.plumbear.co/,"Plumber, Service establishment",18,4.9,,,,ChIJOzM_ufUbbKYRkOFfrebWFyw
