contact_id,contact_name,email,notes,contact_phone,job_title,business_id,business_name,website,domain,business_phone,category,review_count,review_rating,address,status,description,place_id,last_crawled_at,crawl_attempts
39,Info/Office,info@sharkplumbers.com,google ai overview,16692134948,General Contact,39,24/7 Plumber - Shark Plumbing Services,https://www.sharkplumbers.com/,sharkplumbers.com,16692134948,Plumber,0,4.9,"42 S White Rd, San Jose, CA 95127, United States",,,,26:09.0,1
65,Info/Office,info@alertplumbing.com,/privacy-policy,14082721423,General Contact,65,"Alert Plumbing, Inc.",https://www.alertplumbinginc.net/,alertplumbinginc.net,14082721423,Plumber,0,4.5,"2530 Berryessa Rd Ste 323, San Jose, CA 95132, United States",,,,26:09.0,1
58,Info/Office,allgo.plumbing@yahoo.com,https://all-go-plumbing-and-rooter.sanjosedirect.us/,14083133914,General Contact,58,All Go Plumbing and Rooter,https://allgoplumbingandrooter.com/?y_source=1_MTAyOTU0NzIzMy03MTUtbG9jYXRpb24ud2Vic2l0ZQ==,allgoplumbingandrooter.com,14083133914,"Plumber, Cleaners, Contractor, Drainage service, Gas installation service, Repair service, Utility contractor, Water works",0,5,"1033 Willow St, San Jose, CA 95125, United States",,,,26:09.0,1
8,Info/Office,goallstarplumbing@gmail.com,"AI overview, https://www.facebook.com/AllstarPlumbingSanJose/",14084098088,General Contact,8,Allstar Plumbing,https://goallstar.com/,goallstar.com,14084098088,"Plumber, Drainage service",364,4.8,"326 Phelan Ave # A, San Jose, CA 95112, United States",,,ChIJQyqRhDXMj4ARDw8hx1HJqiw,26:09.0,1
13,Info/Office,,"no website, no email",18334433040,General Contact,13,American reliable plumbing,,,18334433040,"Plumber, Drainage service, Service establishment",26,4.9,,,,ChIJQZSutB74a2URtIQsolJrJ4E,,0
74,Info/Office,socialmedia@atlastrillo.com,"google ai overview, facebook",14086203458,General Contact,74,ARS/ Rescue Rooter,https://atlastrillo.com/?utm_source=google&utm_medium=gbp&utm_campaign=local_seo&utm_content=gbp_website_click,atlastrillo.com,14086203458,"Plumber, Air conditioning repair service, Drainage service, Furnace repair service, Heating contractor, HVAC contractor, Air conditioning contractor, Water softening equipment supplier",0,4.7,"2305 Paragon Dr, San Jose, CA 95131, United States",,,,26:09.0,1
27,Info/Office,bfp.servicerequest@gmail.com,https://www.facebook.com/benjaminfranklinplumbingbayarea/,14086457519,General Contact,27,Benjamin Franklin Plumbing - San Jose,https://bfplumbingbayarea.com/plumber-san-jose/?utm_campaign=gmb,bfplumbingbayarea.com,14086457519,Plumber,0,4.8,"1609 Regatta Ln B, San Jose, CA 95112, United States",,,,26:09.0,1
52,Info/Office,,,14083349261,General Contact,52,Best Bay Plumbing,,,14083349261,Plumber,0,5,"5005 Carter Ave, San Jose, CA 95118, United States",,,,,0
30,Info/Office,,,14088593993,General Contact,30,Best Quality Plumbers,http://bestqualityplumbers.com/,bestqualityplumbers.com,14088593993,Plumber,0,5,"2550 Sue Ave, San Jose, CA 95111, United States",,,,26:09.0,1
73,Info/Office,,,14082521134,General Contact,73,California Plumbing,,,14082521134,Plumber,0,4.3,"4476 Strawberry Park Dr, San Jose, CA 95129, United States",,,,,0
60,Info/Office,info@cmsplumbers.com,nextdoor,14086694222,General Contact,60,CMS Plumbing,https://www.cmsplumbers.com/,cmsplumbers.com,14086694222,Plumber,0,4.8,"545 Westchester Dr Ste d, Campbell, CA 95008, United States",,,,26:09.0,1
66,Info/Office,Gocrownplumbing@gmail.com,https://nextdoor.com/pages/crown-plumbing-san-jose-ca/,14082722272,General Contact,66,Counsil Plumbing,http://counsilplumbing.com/,counsilplumbing.com,14082722272,Plumber,0,4.9,"2653 Flagstone Dr, San Jose, CA 95132, United States",,,,26:09.0,1
3,Info/Office,,,14082141270,General Contact,3,Crown Plumbing,https://www.crownplumbingsanjose.com/?utm_source=organic&utm_medium=gbp_listing.,crownplumbingsanjose.com,14082141270,"Plumber, Bathroom remodeler, Drainage service, Gas installation service, Gasfitter, Hot water system supplier, Water filter supplier, Water treatment supplier",959,4.8,"859 Savaker St, San Jose, CA 95126, United States",,,ChIJCe1KCaYzjoAR-VkaqndGpd8,26:09.0,1
38,Info/Office,,,14087263559,General Contact,38,Drain Assist,,,14087263559,Plumber,0,5,"115 S Sunset Ave, San Jose, CA 95116, United States",,,,,0
