zip,city,state
95110,San Jose,CA
95111,San Jose,CA
95112,San Jose,CA
95113,San Jose,CA
95116,San Jose,CA
95117,San Jose,CA
95118,San Jose,CA
95119,San Jose,CA
95120,San Jose,CA
95121,San Jose,CA
95122,San Jose,CA
95123,San Jose,CA
95124,San Jose,CA
95125,San Jose,CA
95126,San Jose,CA
95127,San Jose,CA
95128,San Jose,CA
95129,San Jose,CA
95130,San Jose,CA
95131,San Jose,CA
95132,San Jose,CA
95133,San Jose,CA
95134,San Jose,CA
95135,San Jose,CA
95136,San Jose,CA
95138,San Jose,CA
95139,San Jose,CA
95140,San Jose,CA
95148,San Jose,CA
